A,B,pre_action_l2,pre_ee_l2,branch_image_mse,post_action_abs_diff,post_path_separation,branch_step,A_success,B_success,A_collision,B_collision
data_collection_outputs/trajectories/group_01_A.hdf5,data_collection_outputs/trajectories/group_01_B.hdf5,0.05737365037202835,0.014620203524827957,354.030517578125,0.27046385407447815,0.11716128140687943,229,1,1,0,0
data_collection_outputs/trajectories/group_02_A.hdf5,data_collection_outputs/trajectories/group_02_B.hdf5,0.02696075104176998,0.008643611334264278,125.2324447631836,0.202198788523674,0.1202668696641922,235,1,1,0,0
data_collection_outputs/trajectories/group_03_A.hdf5,data_collection_outputs/trajectories/group_03_B.hdf5,0.055418841540813446,0.011468123644590378,270.7081298828125,0.2064080834388733,0.11109858751296997,233,1,1,0,0
data_collection_outputs/trajectories/group_04_A.hdf5,data_collection_outputs/trajectories/group_04_B.hdf5,0.0711638331413269,0.003785827662795782,178.477294921875,0.2924130856990814,0.13157425820827484,232,1,1,0,0
data_collection_outputs/trajectories/group_05_A.hdf5,data_collection_outputs/trajectories/group_05_B.hdf5,0.06268059462308884,0.009767736308276653,375.2249755859375,0.2656467854976654,0.10947246849536896,231,1,1,0,0
data_collection_outputs/trajectories/group_06_A.hdf5,data_collection_outputs/trajectories/group_06_B.hdf5,0.2221987545490265,0.024355260655283928,406.2596435546875,0.2341175526380539,0.11728445440530777,230,1,1,0,0
data_collection_outputs/trajectories/group_07_A.hdf5,data_collection_outputs/trajectories/group_07_B.hdf5,0.07784749567508698,0.020716451108455658,380.02880859375,0.28802549839019775,0.11302486062049866,230,1,1,0,0
data_collection_outputs/trajectories/group_08_A.hdf5,data_collection_outputs/trajectories/group_08_B.hdf5,0.06582989543676376,0.0067850034683942795,723.5332641601562,0.27270564436912537,0.11460419744253159,229,1,1,0,0
data_collection_outputs/trajectories/group_09_A.hdf5,data_collection_outputs/trajectories/group_09_B.hdf5,0.024759992957115173,0.008504508063197136,245.92420959472656,0.24295736849308014,0.09834995865821838,230,1,1,0,0
data_collection_outputs/trajectories/group_10_A.hdf5,data_collection_outputs/trajectories/group_10_B.hdf5,0.057568151503801346,0.005461825989186764,248.24493408203125,0.24438150227069855,0.11022879183292389,232,1,1,0,0
data_collection_outputs/trajectories/group_11_A.hdf5,data_collection_outputs/trajectories/group_11_B.hdf5,0.4090767800807953,0.03434871882200241,351.0359191894531,0.22088444232940674,0.10031407326459885,232,1,1,0,0
data_collection_outputs/trajectories/group_12_A.hdf5,data_collection_outputs/trajectories/group_12_B.hdf5,0.08100481331348419,0.008043569512665272,664.7156982421875,0.2919018268585205,0.12867845594882965,231,1,1,0,0
data_collection_outputs/trajectories/group_13_A.hdf5,data_collection_outputs/trajectories/group_13_B.hdf5,0.06563083827495575,0.008814392611384392,661.9526977539062,0.23185470700263977,0.11684028059244156,233,1,1,0,0
data_collection_outputs/trajectories/group_14_A.hdf5,data_collection_outputs/trajectories/group_14_B.hdf5,0.11681783199310303,0.022482693195343018,273.9631042480469,0.27072927355766296,0.12093149125576019,230,1,1,0,0
data_collection_outputs/trajectories/group_15_A.hdf5,data_collection_outputs/trajectories/group_15_B.hdf5,0.03939368575811386,0.015368140302598476,228.83380126953125,0.2588624060153961,0.14194044470787048,232,1,1,0,0
data_collection_outputs/trajectories/group_16_A.hdf5,data_collection_outputs/trajectories/group_16_B.hdf5,0.04388301447033882,0.011547915637493134,502.218505859375,0.26282766461372375,0.11268074065446854,234,1,1,0,0
data_collection_outputs/trajectories/group_17_A.hdf5,data_collection_outputs/trajectories/group_17_B.hdf5,0.1915469616651535,0.027015404775738716,701.7245483398438,0.27078795433044434,0.13432183861732483,233,1,1,0,0
data_collection_outputs/trajectories/group_18_A.hdf5,data_collection_outputs/trajectories/group_18_B.hdf5,0.04630622640252113,0.008294561877846718,103.8234634399414,0.3183839023113251,0.13808444142341614,232,1,1,0,0
data_collection_outputs/trajectories/group_19_A.hdf5,data_collection_outputs/trajectories/group_19_B.hdf5,0.05886204540729523,0.01823599636554718,200.22850036621094,0.2697103023529053,0.10973164439201355,232,1,1,0,0
data_collection_outputs/trajectories/group_20_A.hdf5,data_collection_outputs/trajectories/group_20_B.hdf5,0.06057371571660042,0.024107253178954124,481.1910095214844,0.3053852319717407,0.1402807980775833,233,1,1,0,0
data_collection_outputs/trajectories/group_21_A.hdf5,data_collection_outputs/trajectories/group_21_B.hdf5,0.059528153389692307,0.01177590899169445,574.0903930664062,0.2958373725414276,0.13036049902439117,234,1,1,0,0
data_collection_outputs/trajectories/group_22_A.hdf5,data_collection_outputs/trajectories/group_22_B.hdf5,0.05845404416322708,0.010504533536732197,234.2493438720703,0.25043922662734985,0.12812700867652893,231,1,1,0,0
data_collection_outputs/trajectories/group_23_A.hdf5,data_collection_outputs/trajectories/group_23_B.hdf5,0.06209271028637886,0.007452063262462616,251.0291290283203,0.2970922291278839,0.13425041735172272,229,1,1,0,0
data_collection_outputs/trajectories/group_24_A.hdf5,data_collection_outputs/trajectories/group_24_B.hdf5,0.03160865232348442,0.008349145762622356,395.4192810058594,0.239827960729599,0.1180841401219368,231,1,1,0,0
data_collection_outputs/trajectories/group_25_A.hdf5,data_collection_outputs/trajectories/group_25_B.hdf5,0.037801116704940796,0.004557836800813675,304.210205078125,0.2574422061443329,0.13406850397586823,235,1,1,0,0
data_collection_outputs/trajectories/group_26_A.hdf5,data_collection_outputs/trajectories/group_26_B.hdf5,0.03445873036980629,0.009112936444580555,644.9194946289062,0.2905680239200592,0.1303989738225937,234,1,1,0,0
data_collection_outputs/trajectories/group_27_A.hdf5,data_collection_outputs/trajectories/group_27_B.hdf5,0.3781348466873169,0.024078737944364548,130.824462890625,0.21315956115722656,0.1166200116276741,234,1,1,0,0
data_collection_outputs/trajectories/group_28_A.hdf5,data_collection_outputs/trajectories/group_28_B.hdf5,0.20865905284881592,0.027002369984984398,593.9346313476562,0.3052254021167755,0.13428424298763275,234,1,1,0,0
data_collection_outputs/trajectories/group_29_A.hdf5,data_collection_outputs/trajectories/group_29_B.hdf5,0.074671171605587,0.007712092250585556,286.8886413574219,0.22995179891586304,0.11038115620613098,230,1,1,0,0
data_collection_outputs/trajectories/group_30_A.hdf5,data_collection_outputs/trajectories/group_30_B.hdf5,0.26236724853515625,0.03158354386687279,219.20843505859375,0.2692037522792816,0.1409604251384735,231,1,1,0,0
